method_id,name,description,algorithm,metric_id
D1F1M1MD1,Method1,The attribute value in the document collection is compared against its corresponding value in the domain ontology,def compare_onto_with_json_value(onto_prop_value; json_value) :\nif onto_prop_value == json_value:\nreturn 1\nelse:\nreturn 0 ,D1F1M1
D1F1M2MD1,Method2,Calculates the proportion of documents in which the value for a given field matches the corresponding value in the domain ontology,def calculate_agregated_measure(field_measures_list) : \n return (sum(field_measures_list) / len(field_measures_list)),D1F1M2
